<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20170101 to 20170201</B><hr><pre>Selected parameters:
 1 Bartels rotation number
 2 ID for IMF spacecraft
 3 ID for SW Plasma spacecraft
 4 # of points in IMF averages 
 5 # of points in Plasma averag.
 6 Scalar B, nT
 7 Vector B Magnitude,nT
 8 Lat. Angle of B (GSE)
 9 Long. Angle of B (GSE)
10 BX, nT (GSE, GSM)
11 BY, nT (GSE)
12 BZ, nT (GSE)
13 BY, nT (GSM)
14 BZ, nT (GSM)
15 RMS_magnitude, nT
16 RMS_field_vector, nT
17 RMS_BX_GSE, nT
18 RMS_BY_GSE, nT
19 RMS_BZ_GSE, nT
20 SW Plasma Temperature, K
21 SW Proton Density, N/cm^3
22 SW Plasma Speed, km/s
23 SW Plasma flow long. angle
24 SW Plasma flow lat. angle
25 Alpha/Prot. ratio
26 sigma-T,K
27 sigma-n, N/cm^3)
28 sigma-V, km/s
29 sigma-phi V, degrees
30 sigma-theta V, degrees
31 sigma-ratio
32 Flow pressure
33 E elecrtric field 
34 Plasma betta
35 Alfen mach number
36 Magnetosonic Much num.
37 Kp index
38 R (Sunspot No.)
39 Dst-index, nT
40 ap_index, nT
41 f10.7_index
42 AE-index, nT
43 AL-index, nT
44 AU-index, nT
45 pc-index
46 Lyman_alpha
47 Proton flux (>1 Mev)
48 Proton flux (>2 Mev)
49 Proton flux (>4 Mev)
50 Proton flux (>10 Mev)
51 Proton flux (>30 Mev)
52 Proton flux (>60 Mev)
53 Flux FLAG

YEAR DOY HR   1   2  3  4   5     6     7     8     9    10    11    12    13    14    15    16    17    18    19       20    21    22    23    24    25       26    27    28    29    30    31    32     33     34    35   36  37 38    39  40    41   42    43    44    45    46        47       48       49       50       51       52  53
2017   1 10 2502 51 51  60  35   4.0   3.2   0.7 189.1  -3.2  -0.5   0.0  -0.5   0.0   0.4   2.3   1.0   1.8   1.1  181544.   5.5  511.   1.3  -0.9 0.064   32375.   0.4    6.   0.7   0.7 0.004  3.01  -0.00   4.43  15.0  6.8 23  12   -12   9  70.1  365  -251   113 999.9  3.73 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   1 11 2502 51 51  60  35   4.9   3.8 -31.8 303.0   1.7  -2.7  -2.0  -2.9  -1.7   0.5   3.1   1.0   2.7   1.2  138267.   5.5  520.   1.8  -0.1 0.055   18475.   0.6    4.   1.0   0.7 0.005  3.03   0.88   2.54  12.4  7.0 23  12   -15   9  70.1  255  -150   104 999.9  3.73 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   1 12 2502 51 51  60  37   4.2   2.8  -9.3  78.5   0.6   2.7  -0.5   2.7  -0.7   0.8   3.1   0.7   2.3   1.9  135834.   5.6  515.  -0.3  -0.6 0.054   17787.   0.5    3.   0.8   0.8 0.004  3.02   0.36   3.49  14.5  7.2 23  12   -13   9  70.1  342  -254    87 999.9  3.73 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   1 13 2502 51 51  60  36   3.7   2.3 -62.6   8.9   1.1   0.2  -2.1   0.1  -2.1   0.9   2.9   1.3   2.1   1.6  151589.   5.7  516.   0.7  -0.4 0.055   17128.   0.3    4.   0.7   0.6 0.003  3.09   1.08   4.85  16.6  7.3 23  12   -12   9  70.1  279  -193    86 999.9  3.73 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   1 14 2502 51 51  59  35   4.7   3.5  -7.2  32.4   2.9   1.8  -0.4   1.8  -0.4   0.9   3.2   1.8   1.4   2.2  131473.   5.1  513.   0.6  -0.6 0.054   19398.   0.4    5.   0.5   0.8 0.003  2.73   0.21   2.50  12.3  6.9 23  12   -13   9  70.1  182  -138    44 999.9  3.73 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   1 15 2502 51 51  60  37   4.6   4.2   8.2  82.2   0.6   4.1   0.6   4.1   0.7   0.2   1.9   0.8   0.4   1.7  121805.   5.3  501.  -0.6  -0.6 0.059    7891.   0.3    3.   0.6   0.6 0.006  2.75  -0.35   2.61  12.5  7.0 30  12   -11  15  70.1  149  -136    13 999.9  3.73 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017   1 16 2502 51 51  59  36   4.1   3.5 -17.4  66.7   1.3   3.0  -1.0   3.1  -0.8   0.5   2.1   0.9   0.5   1.8  110364.   5.3  495.  -0.5  -0.7 0.056    9363.   0.3    6.   0.6   0.8 0.004  2.65   0.40   3.13  13.9  7.2 30  12   -13  15  70.1  170  -158    13 999.9  3.73 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   1 17 2502 51 51  59  35   3.7   2.7 -47.1  66.3   0.7   1.7  -2.0   1.9  -1.8   0.8   2.5   1.0   1.0   2.1  117563.   5.3  486.  -0.6  -0.7 0.054   12608.   0.2    2.   0.6   0.8 0.005  2.54   0.87   3.96  15.1  7.2 30  12   -15  15  70.1  465  -393    71 999.9  3.73 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   1 18 2502 51 51  60  35   3.4   3.3 -10.6  17.8   3.1   1.0  -0.6   1.1  -0.4   0.2   1.0   0.4   0.5   0.8  101535.   5.5  484.  -0.9  -0.9 0.058   19983.   0.2    2.   0.7   0.5 0.003  2.65   0.19   4.55  16.7  7.5 20  12   -13   7  70.1  256  -226    30 999.9  3.73 999999.99 99999.99 99999.99     0.19     0.09     0.06 -1
2017   1 19 2502 51 51  60  35   3.4   2.9 -35.3  31.8   2.0   1.2  -1.7   1.5  -1.4   0.3   1.7   0.8   1.2   1.0   98660.   5.3  478.  -0.8  -0.5 0.058   11493.   0.3    2.   0.7   0.7 0.003  2.49   0.67   4.33  16.2  7.4 20  12   -11   7  70.1   72   -48    24 999.9  3.73 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
