<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20170101 to 20170201</B><hr><pre>Selected parameters:
 1 Bartels rotation number
 2 ID for IMF spacecraft
 3 ID for SW Plasma spacecraft
 4 # of points in IMF averages 
 5 # of points in Plasma averag.
 6 Scalar B, nT
 7 Vector B Magnitude,nT
 8 Lat. Angle of B (GSE)
 9 Long. Angle of B (GSE)
10 BX, nT (GSE, GSM)
11 BY, nT (GSE)
12 BZ, nT (GSE)
13 BY, nT (GSM)
14 BZ, nT (GSM)
15 RMS_magnitude, nT
16 RMS_field_vector, nT
17 RMS_BX_GSE, nT
18 RMS_BY_GSE, nT
19 RMS_BZ_GSE, nT
20 SW Plasma Temperature, K
21 SW Proton Density, N/cm^3
22 SW Plasma Speed, km/s
23 SW Plasma flow long. angle
24 SW Plasma flow lat. angle
25 Alpha/Prot. ratio
26 sigma-T,K
27 sigma-n, N/cm^3)
28 sigma-V, km/s
29 sigma-phi V, degrees
30 sigma-theta V, degrees
31 sigma-ratio
32 Flow pressure
33 E elecrtric field 
34 Plasma betta
35 Alfen mach number
36 Magnetosonic Much num.
37 Kp index
38 R (Sunspot No.)
39 Dst-index, nT
40 ap_index, nT
41 f10.7_index
42 AE-index, nT
43 AL-index, nT
44 AU-index, nT
45 pc-index
46 Lyman_alpha
47 Proton flux (>1 Mev)
48 Proton flux (>2 Mev)
49 Proton flux (>4 Mev)
50 Proton flux (>10 Mev)
51 Proton flux (>30 Mev)
52 Proton flux (>60 Mev)
53 Flux FLAG

YEAR DOY HR   1   2  3  4   5     6     7     8     9    10    11    12    13    14    15    16    17    18    19       20    21    22    23    24    25       26    27    28    29    30    31    32     33     34    35   36  37 38    39  40    41   42    43    44    45    46        47       48       49       50       51       52  53
2017   8 11 2502 51 51  63  36   4.7   3.7   3.2 313.9   2.6  -2.7   0.2  -2.7   0.3   0.3   2.7   2.0   1.1   1.5  176189.   2.8  662.  -1.0   0.8 0.049   34784.   0.3   20.   1.0   1.4 0.006  2.45  -0.20   1.61  11.8  7.6 33   0   -17  18  69.2  454  -212   242 999.9  3.65 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   8 12 2502 51 51  56  33   4.5   4.0  -2.3 331.6   3.5  -1.9  -0.2  -1.9  -0.1   0.2   1.9   1.3   0.6   1.3  163217.   2.8  658.  -0.5   0.2 0.053   45994.   0.3   16.   0.7   1.4 0.007  2.45   0.07   1.68  12.2  7.8 30   0   -19  15  69.2  430  -236   194 999.9  3.65 999999.99 99999.99 99999.99     0.19     0.10     0.08 -1
2017   8 13 2502 51 51  63  38   4.3   3.0   6.9 328.2   2.5  -1.6   0.4  -1.6   0.4   0.5   2.9   1.7   1.2   2.0  163058.   2.5  666.  -0.2  -0.0 0.051   42432.   0.3   24.   0.9   1.8 0.007  2.23  -0.27   1.64  12.2  7.9 30   0   -18  15  69.2  321  -235    86 999.9  3.65 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017   8 14 2502 51 51  61  36   4.1   3.0 -17.1 301.6   1.5  -2.5  -0.9  -2.5  -1.0   0.3   2.5   1.7   1.3   1.2  172286.   2.3  690.  -0.6  -0.6 0.049   44578.   0.4   21.   1.7   1.5 0.007  2.19   0.69   1.71  12.8  8.1 30   0   -15  15  69.2  296  -241    55 999.9  3.65 999999.99 99999.99 99999.99     0.17     0.08     0.06 -1
2017   8 15 2502 51 51  56  34   4.4   3.7  -6.3 317.9   2.7  -2.5  -0.4  -2.5  -0.6   0.3   2.2   2.0   0.7   0.7  159961.   2.1  674.  -1.2   0.2 0.044   47595.   0.3   27.   1.0   0.9 0.006  1.87   0.40   1.30  11.1  7.6 27   0   -18  12  69.2  287  -225    61 999.9  3.65 999999.99 99999.99 99999.99     0.19     0.10     0.06 -1
2017   8 16 2502 51 51  61  37   4.4   3.6  -5.5 273.4   0.2  -3.6  -0.3  -3.5  -0.7   0.2   2.4   1.9   0.9   1.0  155028.   1.7  682.  -1.5  -0.1 0.059   33373.   0.2   17.   0.9   1.4 0.010  1.63   0.48   1.04  10.1  7.3 27   0   -24  12  69.2  215  -160    55 999.9  3.65 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017   8 17 2502 51 51  60  35   4.4   3.9 -20.2 278.6   0.5  -3.6  -1.3  -3.3  -1.9   0.2   1.9   1.3   1.0   1.1  171920.   1.9  682.  -1.9  -1.1 0.054   25920.   0.1   13.   0.8   1.3 0.004  1.79   1.30   1.23  10.7  7.4 27   0   -22  12  69.2  170  -100    71 999.9  3.65 999999.99 99999.99 99999.99     0.17     0.08     0.06 -1
2017   8 18 2502 51 51  60  34   3.9   2.3 -13.9 328.1   1.9  -1.2  -0.6  -1.1  -0.8   0.5   3.1   2.1   1.4   1.7  158648.   2.2  672.   0.5  -0.2 0.061   26827.   0.4   24.   1.8   2.4 0.009  2.06   0.54   1.73  12.8  8.1 37   0   -21  22  69.2  483  -415    68 999.9  3.65 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   8 19 2502 51 51  59  33   3.8   3.3   8.1  13.6   3.2   0.8   0.5   0.7   0.7   0.2   1.7   0.7   1.1   1.1  152841.   2.4  662.   2.2   0.9 0.063   33895.   0.3    9.   1.2   1.1 0.007  2.20  -0.46   1.94  13.5  8.2 37   0   -19  22  69.2  284  -191    93 999.9  3.65 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   8 20 2502 51 51  62  34   4.1   3.5  10.2 326.4   2.9  -1.9   0.6  -2.0   0.1   0.2   1.9   0.7   1.1   1.4  137806.   2.2  660.  -0.4   0.9 0.051   27588.   0.3    8.   1.4   1.7 0.006  1.93  -0.07   1.45  11.9  8.0 37   0   -20  22  69.2  175  -120    55 999.9  3.65 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   8 21 2502 51 51  61  36   4.2   3.4  10.5 295.9   1.5  -3.0   0.6  -3.0  -0.3   0.2   2.3   1.3   1.3   1.4  158487.   1.9  682.  -1.9   0.6 0.045   29755.   0.2   20.   1.4   1.8 0.005  1.74   0.20   1.29  11.2  7.7 40   0   -24  27  69.2  147   -86    60 999.9  3.65 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   8 22 2502 51 51  58  34   4.1   3.6   0.0 330.2   3.1  -1.8   0.0  -1.7  -0.6   0.1   1.9   0.8   1.2   1.2  153998.   2.2  667.  -0.8  -0.5 0.043   41830.   0.3    9.   1.8   1.5 0.005  1.92   0.40   1.54  12.1  7.9 40   0   -28  27  69.2  492  -402    90 999.9  3.65 999999.99 99999.99 99999.99     0.17     0.08     0.06 -1
2017   8 23 2502 51 51  59  33   4.1   4.0  18.8 338.9   3.5  -1.4   1.3  -1.7   0.8   0.1   1.1   0.4   0.6   0.9  116933.   1.8  657.  -0.3   1.3 0.037   23473.   0.4    8.   1.1   1.3 0.005  1.49  -0.53   1.09  10.7  7.7 40   0   -31  27  69.2  276  -195    81 999.9  3.65 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   9  0 2502 51 51  60  33   4.2   3.8 -21.2 337.4   3.3  -1.4  -1.4  -0.9  -1.8   0.1   1.5   0.7   0.7   1.1  131257.   2.0  655.  -0.9  -1.1 0.043   18689.   0.2    7.   1.4   1.7 0.009  1.68   1.18   1.22  11.0  7.7 33   0   -29  18  68.9  246  -139   107 999.9  3.66 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   9  1 2502 51 51  61  36   4.2   3.7 -29.6 308.1   2.0  -2.5  -1.8  -1.9  -2.4   0.1   2.0   1.0   0.5   1.7  149615.   1.9  668.  -2.0  -2.1 0.043   21265.   0.2   13.   1.1   1.9 0.004  1.66   1.60   1.25  11.0  7.6 33   0   -25  18  68.9  194  -111    83 999.9  3.66 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017   9  2 2502 51 51  59  36   4.0   3.6  19.0   5.3   3.4   0.3   1.2   0.0   1.2   0.1   1.7   0.6   1.2   1.1  147560.   2.0  651.   1.5   1.7 0.037   25981.   0.3   10.   1.7   1.3 0.004  1.62  -0.78   1.43  11.5  7.7 33   0   -24  18  68.9  115   -47    68 999.9  3.66 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017   9  3 2502 51 51  60  36   4.4   3.9  -4.2 335.2   3.5  -1.6  -0.3  -1.5  -0.6   0.2   2.0   0.7   1.0   1.6  145494.   2.1  645.  -0.8   0.1 0.028   23006.   0.2    8.   1.1   1.8 0.004  1.62   0.39   1.24  10.6  7.4 23   0   -22   9  68.9   75   -23    53 999.9  3.66 999999.99 99999.99 99999.99     0.16     0.10     0.08 -1
2017   9  4 2502 51 51  61  37   4.3   3.2  -1.8 279.9   0.5  -3.1  -0.1  -3.0  -0.6   0.2   2.7   1.3   1.0   2.2  155995.   1.7  675.  -2.2  -0.4 0.027   28693.   0.2   14.   1.3   2.2 0.004  1.43   0.41   1.09  10.2  7.3 23   0   -20   9  68.9   91   -31    61 999.9  3.66 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   9  5 2502 51 51  59  35   4.5   3.7   3.3 271.0   0.1  -3.7   0.2  -3.7  -0.2   0.2   2.4   1.8   0.9   1.3  141123.   1.7  678.  -2.3  -0.0 0.030   28377.   0.2   21.   1.0   1.3 0.006  1.46   0.14   0.94   9.8  7.3 23   0   -17   9  68.9  101   -24    76 999.9  3.66 999999.99 99999.99 99999.99     0.18     0.10     0.08 -1
2017   9  6 2502 51 51  60  34   4.2   4.1  20.4  12.0   3.7   0.8   1.4   0.7   1.4   0.2   1.1   0.3   0.9   0.6  118955.   1.6  639.   1.5   1.0 0.031   26915.   0.3    7.   1.2   0.8 0.008  1.23  -0.89   0.93   9.6  7.2 17   0   -16   6  68.9   73   -19    54 999.9  3.66 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   9  7 2502 51 51  59  35   4.2   4.2   5.6   1.0   4.1   0.1   0.4   0.1   0.4   0.1   0.6   0.1   0.4   0.4   74513.   1.3  632.   0.2  -0.3 0.023    7863.   0.1    3.   0.7   0.5 0.005  0.95  -0.25   0.62   8.6  6.9 17   0   -14   6  68.9   63   -18    45 999.9  3.66 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   9  8 2502 51 51  60  34   4.0   4.0  -4.6  15.1   3.8   1.0  -0.3   1.0  -0.3   0.1   0.8   0.2   0.6   0.4  147034.   1.7  631.   2.0  -0.7 0.028   46164.   0.3    5.   1.0   0.8 0.004  1.26   0.19   1.22  10.3  7.2 17   0   -13   6  68.9  102   -59    43 999.9  3.66 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   9  9 2502 51 51  60  36   4.1   4.1  -0.1   9.9   4.0   0.7   0.0   0.7   0.0   0.1   0.6   0.2   0.3   0.5  140156.   2.1  628.   1.6   0.0 0.035   37648.   0.3    6.   1.4   0.9 0.005  1.58  -0.00   1.40  11.1  7.5 20   0   -12   7  68.9  175  -135    40 999.9  3.66 999999.99 99999.99 99999.99     0.15     0.09     0.07 -1
2017   9 10 2502 51 51  59  34   4.2   3.9  15.1  22.4   3.5   1.4   1.0   1.4   0.9   0.2   1.4   0.7   1.0   0.8  121081.   1.6  632.   2.6   0.6 0.035   40428.   0.2   10.   1.9   1.1 0.005  1.22  -0.57   0.94   9.5  7.1 20   0   -11   7  68.9  263  -204    60 999.9  3.66 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   9 11 2502 51 51  61  34   4.4   3.9   4.3 341.8   3.7  -1.2   0.3  -1.2   0.3   0.1   1.9   1.0   1.5   0.5   82806.   1.6  622.  -0.1  -0.3 0.032   27712.   0.2   13.   2.4   1.0 0.006  1.17  -0.19   0.73   8.9  7.0 20   0   -14   7  68.9  212  -163    49 999.9  3.66 999999.99 99999.99 99999.99     0.18     0.10     0.08 -1
2017   9 12 2502 51 51  62  38   4.5   2.7 -18.0 258.6  -0.5  -2.5  -0.8  -2.5  -0.7   0.4   3.5   3.0   1.0   1.6  121067.   1.6  658.  -0.6  -0.3 0.040   23062.   0.3   20.   1.7   1.2 0.008  1.34   0.46   0.82   9.2  7.1 33   0   -16  18  68.9  182  -124    58 999.9  3.66 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017   9 13 2502 51 51  60  37   5.1   4.6 -38.6 259.4  -0.7  -3.6  -2.9  -3.6  -2.9   0.2   1.9   1.0   1.3   0.9  131113.   1.7  677.   0.6  -2.0 0.055   25754.   0.2   12.   1.3   1.0 0.007  1.59   1.96   0.71   8.7  6.8 33   0   -17  18  68.9  613  -522    91 999.9  3.66 999999.99 99999.99 99999.99     0.18     0.11     0.08 -1
2017   9 14 2502 51 51  60  35   5.3   4.5  -8.1 276.0   0.5  -4.4  -0.6  -4.4  -0.8   0.2   2.6   1.5   0.6   2.0  164721.   1.9  661.  -0.4  -0.2 0.047   29278.   0.2   20.   1.3   2.2 0.006  1.65   0.53   0.82   8.6  6.6 33   0   -23  18  68.9  390  -358    32 999.9  3.66 999999.99 99999.99 99999.99     0.19     0.10     0.08 -1
2017   9 15 2502 51 51  60  35   5.3   5.0  -3.8 275.3   0.5  -5.0  -0.3  -5.0  -0.7   0.2   1.3   0.9   0.3   0.9  198332.   2.0  664.  -1.7  -1.0 0.042   41953.   0.2   12.   0.8   1.3 0.004  1.72   0.46   0.97   8.9  6.5 33   0   -21  18  68.9  212  -149    63 999.9  3.66 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   9 16 2502 51 51  60  37   5.3   4.7  -0.5 289.0   1.5  -4.4   0.0  -4.4  -0.5   0.1   2.3   1.3   1.0   1.6  189688.   2.4  646.  -0.9  -1.0 0.042   45256.   0.4   15.   1.5   1.9 0.004  1.95   0.32   1.13   9.4  6.7 33   0   -19  18  68.9  413  -293   119 999.9  3.66 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   9 17 2502 51 51  60  36   4.8   3.5  28.1 289.4   1.0  -3.0   1.7  -3.2   1.2   0.6   3.1   1.4   1.5   2.4  233160.   2.6  649.   0.4   0.3 0.042   47891.   0.2   16.   1.2   2.2 0.005  2.14  -0.78   1.70  10.9  6.9 33   0   -19  18  68.9  137   -62    75 999.9  3.66 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   9 18 2502 51 51  59  34   4.4   3.8  48.7 290.5   0.9  -2.4   2.9  -3.0   2.3   0.2   2.0   0.9   1.5   1.0  218762.   2.6  655.   0.8   1.1 0.042   26643.   0.2   10.   1.7   1.2 0.003  2.18  -1.51   1.94  12.0  7.3 13   0   -16   5  68.9   61   -17    44 999.9  3.66 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   9 19 2502 51 51  60  38   4.3   3.6  25.5 274.4   0.3  -3.3   1.6  -3.6   0.7   0.5   2.1   1.5   1.1   1.0  187428.   2.4  660.  -0.8  -0.3 0.040   23549.   0.2   13.   1.1   1.1 0.004  2.03  -0.46   1.71  11.9  7.6 13   0   -13   5  68.9   52   -30    22 999.9  3.66 999999.99 99999.99 99999.99     0.18     0.11     0.08 -1
2017   9 20 2502 51 51  59  36   3.4   2.9  41.1 324.3   1.8  -1.3   1.9  -1.8   1.5   0.2   1.7   1.1   1.2   0.7  188624.   2.4  643.   0.4   0.1 0.046   33409.   0.2    9.   0.9   0.8 0.004  1.96  -0.96   2.74  14.6  8.0 13   0   -15   5  68.9   46   -21    25 999.9  3.66 999999.99 99999.99 99999.99     0.19     0.11     0.08 -1
2017   9 21 2502 51 51  59  34   3.9   3.4  18.8   4.7   3.2   0.3   1.1  -0.1   1.1   0.2   1.8   0.6   1.5   0.7  135809.   2.2  629.   1.6  -0.0 0.038   39137.   0.4   11.   1.9   0.9 0.006  1.67  -0.69   1.59  12.0  7.8 23   0   -17   9  68.9   62   -39    22 999.9  3.66 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017   9 22 2502 51 51  59  34   3.7   3.3  25.6 355.1   3.0  -0.3   1.4  -0.7   1.2   0.1   1.6   0.4   1.4   0.6  134641.   2.3  623.   1.3   0.7 0.033   31586.   0.4    7.   1.8   0.8 0.005  1.69  -0.75   1.84  12.8  7.9 23   0   -20   9  68.9   85   -64    21 999.9  3.66 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017   9 23 2502 51 51  60  35   3.5   3.3  -3.9 337.6   3.1  -1.3  -0.2  -1.2  -0.6   0.2   1.2   0.5   0.5   0.9  106504.   2.0  613.   0.5  -1.1 0.024   35164.   0.4    9.   1.0   1.6 0.003  1.38   0.37   1.60  12.4  8.0 23   0   -19   9  68.9  139  -110    29 999.9  3.66 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  10  0 2502 51 51  59  35   3.8   3.7  14.1 318.6   2.7  -2.4   0.9  -2.6   0.1   0.3   0.9   0.4   0.6   0.5   96040.   1.8  608.  -1.5   0.4 0.023   32416.   0.5    7.   1.1   1.4 0.002  1.21  -0.06   1.16  10.7  7.6 20   0   -21   7  70.3  111   -83    28 999.9  3.67 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  10  1 2502 51 51  59  35   4.0   3.8  34.8 317.4   2.3  -2.1   2.2  -2.7   1.5   0.3   1.1   0.7   0.5   0.7   85093.   1.6  606.  -1.1   1.6 0.025   22540.   0.4   12.   0.9   0.8 0.003  1.08  -0.91   0.89   9.6  7.2 20   0   -21   7  70.3   80   -35    45 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  10  2 2502 51 51  60  35   4.1   4.0  25.9 337.4   3.3  -1.4   1.8  -1.8   1.4   0.4   0.9   0.7   0.5   0.4   90811.   1.6  586.  -0.6   1.4 0.028   55268.   0.3    7.   0.8   0.7 0.005  1.02  -0.82   0.87   9.0  6.8 20   0   -20   7  70.3   47    -2    45 999.9  3.67 999999.99 99999.99 99999.99     0.20     0.10     0.07 -1
2017  10  3 2502 51 51  60  35   3.6   3.1   7.1   3.6   3.1   0.2   0.4   0.1   0.4   0.6   1.9   0.9   1.3   1.0  164427.   2.4  591.  -0.6   0.4 0.037   65475.   0.2    9.   1.4   0.8 0.003  1.61  -0.24   2.26  12.7  7.4 20   0   -18   7  70.3   49    -8    41 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.10     0.08 -1
2017  10  4 2502 51 51  60  36   3.5   2.6  -4.5 318.0   1.9  -1.7  -0.2  -1.6  -0.5   0.5   2.4   0.9   2.0   1.1  179516.   2.3  594.  -1.8  -0.1 0.036   45479.   0.3    9.   1.7   0.9 0.003  1.55   0.30   2.40  12.9  7.3 20   0   -17   7  70.3   77   -21    55 999.9  3.67 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  10  5 2502 51 51  63  38   3.4   2.7  23.3 337.9   2.3  -0.9   1.1  -1.0   1.0   0.3   2.1   1.7   0.8   1.0  152756.   3.0  597.  -1.1   0.1 0.033   29365.   0.3    9.   1.2   0.7 0.005  2.02  -0.60   3.03  15.2  8.0 20   0   -16   7  70.3  110   -36    74 999.9  3.67 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  10  6 2502 51 51  58  34   3.9   2.0  -0.9 264.0  -0.2  -2.0   0.0  -2.0  -0.1   0.3   3.3   2.2   1.7   1.8  113654.   2.9  616.  -0.5  -0.7 0.024   17013.   0.4    9.   1.1   0.9 0.004  2.01   0.06   1.92  13.4  8.2 20   0   -11   7  70.3  158   -84    74 999.9  3.67 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  10  7 2502 51 51  60  36   4.0   3.6  31.7 313.6   2.1  -2.2   1.9  -2.3   1.8   0.3   1.6   0.7   1.3   0.7  135490.   3.4  600.  -0.4   0.8 0.027   13770.   0.2    3.   0.6   0.5 0.004  2.26  -1.08   2.33  13.8  8.0 20   0    -5   7  70.3  103   -29    74 999.9  3.67 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  10  8 2502 51 51  60  37   3.8   2.5 -15.2 246.9  -0.9  -2.2  -0.7  -2.2  -0.7   0.4   2.9   2.2   1.4   1.1   96267.   2.9  600.  -0.5   0.5 0.033   27304.   0.5    5.   0.6   0.5 0.007  1.97   0.42   1.88  13.4  8.3 20   0    -5   7  70.3  106   -18    88 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1
2017  10  9 2502 51 51  59  36   3.6   3.5   5.2 221.2  -2.6  -2.3   0.3  -2.3   0.4   0.3   0.9   0.6   0.4   0.5   79825.   2.5  598.  -0.3   0.3 0.038   15751.   0.2    4.   0.5   0.3 0.003  1.72  -0.24   1.67  13.1  8.4  7   0    -7   3  70.3   67   -29    38 999.9  3.67 999999.99 99999.99 99999.99     0.19     0.11     0.07 -1
2017  10 10 2502 51 51  60  34   3.4   3.3  17.8 206.4  -2.8  -1.4   1.0  -1.4   1.0   0.3   0.8   0.3   0.3   0.6   69884.   2.4  590.  -0.0   0.4 0.039   11799.   0.3    5.   0.5   0.6 0.003  1.61  -0.59   1.71  13.4  8.5  7   0    -8   3  70.3   69   -38    31 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  10 11 2502 51 51  59  36   3.3   2.9  21.2 209.7  -2.4  -1.4   1.1  -1.4   1.1   0.3   1.4   0.6   0.8   1.0   73856.   2.1  574.   0.2   0.1 0.039   13481.   0.1    4.   0.5   0.5 0.003  1.34  -0.63   1.62  12.6  8.1  7   0   -10   3  70.3   84   -50    34 999.9  3.67 999999.99 99999.99 99999.99     0.19     0.09     0.06 -1
2017  10 12 2502 51 51  59  35   3.4   2.8   2.1 238.9  -1.5  -2.4   0.1  -2.4   0.1   0.7   2.0   1.3   0.9   1.2   66939.   2.1  575.  -0.3  -0.2 0.028    9252.   0.2    8.   0.6   0.6 0.005  1.29  -0.06   1.48  12.3  8.1 10   0   -11   4  70.3  166  -125    41 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  10 13 2502 51 51  59  36   2.8   2.5   9.2 290.2   0.8  -2.3   0.4  -2.3   0.4   0.3   1.4   0.6   0.5   1.1   84051.   2.0  553.  -1.0  -1.9 0.038   16164.   0.2    4.   0.7   0.7 0.006  1.18  -0.22   2.25  14.0  8.1 10   0   -16   4  70.3  202  -133    69 999.9  3.67 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017  10 14 2502 51 51  61  36   3.6   2.6  39.2 270.4   0.0  -2.0   1.6  -2.1   1.5   0.4   2.5   1.4   1.9   0.9   84926.   2.6  560.  -1.0  -1.3 0.053   15244.   0.3    7.   1.0   0.6 0.007  1.65  -0.84   1.78  12.5  7.9 10   0   -13   4  70.3  129   -61    68 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  10 15 2502 51 51  60  35   4.5   4.3   1.4 248.0  -1.6  -3.9   0.1  -3.9  -0.2   0.4   1.5   0.7   0.6   1.2   90480.   3.0  567.  -1.4  -1.6 0.052   10131.   0.3    3.   0.6   0.6 0.004  1.95   0.11   1.35  10.9  7.4 37   0   -10  22  70.3  163  -129    34 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  10 16 2502 51 51  59  36   4.5   4.1 -38.5 208.0  -2.8  -1.5  -2.5  -1.2  -2.7   0.7   2.1   1.1   1.4   1.0   76495.   3.9  556.   0.1  -0.5 0.042   20576.   0.4    7.   1.1   0.7 0.008  2.35   1.50   1.64  12.2  7.8 37   0   -15  22  70.3  206  -178    28 999.9  3.67 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  10 17 2502 51 51  59  36   5.3   5.2 -37.5 206.7  -3.7  -1.8  -3.2  -1.2  -3.5   0.2   0.9   0.4   0.7   0.4   55277.   3.5  552.   0.4  -0.2 0.042    6364.   0.3    2.   0.5   0.4 0.002  2.08   1.93   0.95   9.7  7.2 37   0   -22  22  70.3  566  -425   140 999.9  3.67 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017  10 18 2502 51 51  60  37   4.9   4.8 -34.7 213.8  -3.3  -2.2  -2.7  -1.6  -3.1   0.4   1.1   0.5   0.8   0.6   67645.   3.6  544.  -0.3  -0.4 0.038   10062.   0.4    3.   0.4   0.4 0.002  2.05   1.69   1.22  10.5  7.3 30   0   -22  15  70.3  622  -505   117 999.9  3.67 999999.99 99999.99 99999.99     0.20     0.09     0.06 -1
2017  10 19 2502 51 51  59  36   3.7   3.2 -23.3 227.2  -2.0  -2.2  -1.3  -1.8  -1.8   0.6   1.9   1.6   0.7   0.7   94133.   4.3  528.  -0.8   0.1 0.038   17744.   0.4    8.   0.8   0.4 0.003  2.31   0.95   2.91  14.8  7.9 30   0   -23  15  70.3  303  -187   116 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  10 20 2502 51 51  60  36   3.5   2.8  -9.5 208.2  -2.5  -1.3  -0.5  -1.1  -0.9   0.7   2.1   1.6   1.2   0.8   92244.   3.6  525.  -1.0   0.4 0.040   22270.   0.4    8.   1.1   0.7 0.004  1.92   0.47   2.70  14.2  7.8 30   0   -23  15  70.3  142   -70    72 999.9  3.67 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017  10 21 2502 51 51  59  35   2.8   2.0 -20.6 192.2  -1.8  -0.4  -0.7  -0.2  -0.8   0.5   2.0   1.6   1.1   0.3  110092.   3.5  527.  -0.4  -1.2 0.042   23150.   0.3    8.   0.8   0.7 0.004  1.90   0.42   4.43  17.6  8.0 27   0   -20  12  70.3  164   -85    79 999.9  3.67 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  10 22 2502 51 51  59  36   2.6   1.9   1.5 223.9  -1.4  -1.3   0.0  -1.2  -0.4   0.6   1.8   0.8   1.1   1.2  105266.   4.4  512.   0.4  -2.8 0.038    8633.   0.5    5.   1.1   0.6 0.004  2.22   0.20   6.33  20.7  8.1 27   0   -17  12  70.3  116   -81    35 999.9  3.67 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  10 23 2502 51 51  61  37   3.6   2.4 -11.6 204.3  -2.2  -1.0  -0.5  -0.8  -0.8   0.8   2.7   1.7   1.5   1.4   75591.   4.6  516.   0.6  -2.2 0.033   19190.   0.6    8.   1.2   1.4 0.002  2.32   0.41   3.01  15.4  8.1 27   0   -17  12  70.3   99   -64    35 999.9  3.67 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  11  0 2502 51 51  61  35   3.5   1.7   4.0 252.2  -0.5  -1.6   0.1  -1.5  -0.4   0.7   3.0   1.6   1.3   2.2   95609.   4.1  516.  -0.1  -2.3 0.036   21333.   0.7    8.   0.7   1.5 0.005  2.09   0.21   3.12  14.9  7.8 27   0   -17  12  72.0  113   -74    39 999.9  3.64 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  11  1 2502 51 51  60  34   3.0   2.5  33.4 248.9  -0.7  -1.9   1.4  -2.2   0.8   0.4   1.6   0.9   0.6   1.1  111017.   4.4  530.  -0.1  -2.1 0.039   18469.   0.6    5.   0.8   0.8 0.004  2.39  -0.42   4.87  18.5  8.1 27   0   -13  12  72.0   95   -51    44 999.9  3.64 999999.99 99999.99 99999.99     0.17     0.10     0.08 -1
2017  11  2 2502 51 51  58  35   3.9   3.4   3.1 225.0  -2.4  -2.4   0.2  -2.4  -0.5   0.4   1.9   1.2   0.6   1.3   95545.   3.9  525.  -0.5  -2.3 0.041   14203.   0.5    6.   0.7   0.8 0.003  2.09   0.26   2.39  13.3  7.6 27   0   -11  12  72.0   47   -13    34 999.9  3.64 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
